"V1","V2","V3"
0.708399407332763,0.975654965266585,0.743078004103154
0.909124425379559,0.521447461564094,0.285498165758327
0.599101752508432,0.65614794800058,0.738717830972746
0.60396861564368,0.467935082037002,0.265360292978585
0.411486974684522,0.924887142144144,0.500427261926234
0.0541488437447697,0.350430506514385,0.74437547638081
0.343573764432222,0.511701359879225,0.736507029272616
0.428623660467565,0.333987578051165,0.634510004194453
0.102817207342014,0.753007475752383,0.802225125953555
0.247722694883123,0.799652477959171,0.768573213368654
0.201499689370394,0.783287652768195,0.104169377591461
0.0948762027546763,0.948504786007106,0.830160376382992
0.944337198976427,0.253427099203691,0.623342249775305
0.70096918544732,0.0248961565084755,0.573366604745388
0.442572890315205,0.919385947054252,0.563039360567927
0.376729123527184,0.475679098628461,0.86438696202822
0.838978404644877,0.647261682432145,0.578742305049673
0.439117631176487,0.454968128586188,0.882483987836167
0.528941246215254,0.996093244524673,0.982614610344172
0.947255718056113,0.426611103350297,0.123234486673027
0.604679650859907,0.741981732193381,0.204613351263106
0.606303541455418,0.211505657993257,0.546312873950228
0.830599416978657,0.226453023962677,0.492140469141304
0.858421452576295,0.604613736504689,0.122719788225368
0.0933911183383316,0.766074337530881,0.187705374788493
0.771099210949615,0.958493213867769,0.611765781417489
0.34044155292213,0.665482334326953,0.052756714168936
0.376576196402311,0.522704638773575,0.501504267565906
0.0517046831082553,0.255681007867679,0.257021005963907
0.339229747420177,0.170153332175687,0.983353883726522
0.675990821560845,0.899792594835162,0.773770384257659
0.0510624907910824,0.355523550650105,0.626582401106134
0.644826252013445,0.642727742437273,0.0999966172967106
0.263773317681625,0.037688672542572,0.650401677936316
0.44549022661522,0.737640644656494,0.250888511538506
0.106547815026715,0.854062296450138,0.933070582337677
0.403318308060989,0.699428998166695,0.508007843745872
0.342918512877077,0.847590776626021,0.576115939533338
0.709946123650298,0.344238354591653,0.22538538579829
0.668715924723074,0.809377817669883,0.189137640642002
0.298689015908167,0.148188302759081,0.471000867895782
0.00151992263272405,0.591686620842665,0.995289112674072
0.812485442264006,0.570416930830106,0.87994221993722
0.248328072018921,0.705825980985537,0.304031144827604
0.0866497776005417,0.0150034711696208,0.628887248924002
0.145568792941049,0.913244809955359,0.71645455667749
0.10447011818178,0.817153039155528,0.993322417838499
0.576625832356513,0.725240765372291,0.817849181825295
0.224562944145873,0.252123896032572,0.160605518845841
0.408484077081084,0.616366326576099,0.53204363072291
0.392318813828751,0.374827367253602,0.338677173713222
0.2891815174371,0.411588689079508,0.317592985229567
0.816599923651665,0.410332067171112,0.125089460983872
0.875752923544496,0.29094029776752,0.463620866416022
0.945739723509178,0.144278282532468,0.39866871223785
0.994336850009859,0.491936714155599,0.887965745292604
0.883794275810942,0.0548635788727552,0.258648394839838
0.894133059773594,0.124982118839398,0.190092929871753
0.116136323194951,0.0351190166547894,0.877092463895679
0.591753614367917,0.696934099541977,0.474246373400092
