"V1","V2","V3","V4"
0.0829569450579584,0.664733211742714,0.638273048214614,0.431265441002324
0.451459586853161,0.809141976991668,0.649724032962695,0.817564750555903
0.449956648983061,0.694156594341621,0.751655854284763,0.715528201544657
0.125536525854841,0.513368374900892,0.403422493254766,0.864658915903419
0.847747961524874,0.313080460997298,0.471278181066737,0.332627274328843
0.89041462005116,0.0580653524957597,0.803297104081139,0.674370585242286
0.372630860889331,0.762381706386805,0.374108761548996,0.607116455677897
0.714319187914953,0.239313658094034,0.917242289055139,0.490807380527258
0.146783186122775,0.888271572068334,0.384183711139485,0.850858880672604
0.279681045096368,0.0918533343356103,0.945466126780957,0.488230308983475
0.783863698597997,0.493730824440718,0.668755834223703,0.518580133561045
0.78820844204165,0.0915408036671579,0.544426887761801,0.796039703069255
0.560665158322081,0.484450199641287,0.121602434897795,0.267691357061267
0.496181552065536,0.698231504298747,0.712898585712537,0.456396140158176
0.436331707518548,0.925142211373895,0.922120281495154,0.989604176254943
0.28435408975929,0.500224268296733,0.336564279394224,0.531329017831013
0.460178874433041,0.301234290236607,0.130905594443902,0.967501657316461
0.752364908345044,0.702073346823454,0.116444538580254,0.388244857778773
0.133821898372844,0.193693521199748,0.718144436599687,0.972930082818493
0.511059728218243,0.387805993203074,0.91379105579108,0.39215557416901
0.715461339335889,0.146949289366603,0.0554739944636822,0.702635972760618
0.287514274474233,0.792888670694083,0.0958272980060428,0.649948047474027
0.738166663330048,0.209372659912333,0.751916849054396,0.687282996252179
0.853128047194332,0.184434566879645,0.926698565250263,0.821436628233641
0.884430691367015,0.534750449936837,0.618002974195406,0.211257718037814
0.227993401931599,0.552329576341435,0.646787002915516,0.388409543083981
0.425790116423741,0.135439958190545,0.16235757432878,0.245785554870963
0.245298325549811,0.746186609845608,0.00778668280690908,0.0146860550157726
0.0253637058194727,0.483052278636023,0.470531875267625,0.831220250111073
0.623180527705699,0.330998432124034,0.179213193943724,0.0857826066203415
0.507827655412257,0.0111153456382453,0.965365530457348,0.772678568027914
0.689599186647683,0.126628062920645,0.55970152746886,0.687570293201134
0.330847375327721,0.504663409199566,0.370804317761213,0.219061206327751
0.0806786536704749,0.0367304738610983,0.300832513486966,0.213096897117794
0.567582891322672,0.365429727593437,0.127351525472477,0.564499964239076
0.751966863172129,0.547463772352785,0.402483855374157,0.64752792310901
0.623742009978741,0.936155803035945,0.121919122990221,0.380529829533771
0.188514976529405,0.350152150727808,0.741348233772442,0.0382864018902183
0.493439695797861,0.795702533563599,0.593943484127522,0.514702072134241
0.000237065833061934,0.294132368871942,0.610441934783012,0.200830057729036
